category,name,recommended_version,architecture,source,destination,notes
Editor,Visual Studio Code,Latest Stable,x64,https://update.code.visualstudio.com/latest/win32-x64-user/stable,offline-bundle/installers/VSCodeUserSetup-x64.exe,Windows User Installer
Interpreter,Python,3.11.9,x64,https://www.python.org/ftp/python/3.11.9/python-3.11.9-amd64.exe,offline-bundle/installers/python-3.11.9-amd64.exe,Independent from MATLAB
Compiler,WinLibs MinGW-w64,GCC 14.3.0 + GDB 16.3,x64,https://github.com/brechtsanders/winlibs_mingw/releases/tag/14.3.0posix-12.0.0-ucrt-r1,offline-bundle/installers/winlibs-x86_64-posix-seh-gcc-14.3.0-mingw-w64ucrt-12.0.0-r1.zip,UCRT POSIX SEH
VSIX,Chinese Language Pack,Latest,x64,https://marketplace.visualstudio.com/items?itemName=MS-CEINTL.vscode-language-pack-zh-hans,offline-bundle/vsix/MS-CEINTL.vscode-language-pack-zh-hans.vsix,Optional
VSIX,C/C++,Latest,x64,https://marketplace.visualstudio.com/items?itemName=ms-vscode.cpptools,offline-bundle/vsix/ms-vscode.cpptools.vsix,Required for C and C++ editing and debugging
VSIX,Python,Latest,x64,https://marketplace.visualstudio.com/items?itemName=ms-python.python,offline-bundle/vsix/ms-python.python.vsix,Required for Python integration
VSIX,Pylance,Latest,x64,https://marketplace.visualstudio.com/items?itemName=ms-python.vscode-pylance,offline-bundle/vsix/ms-python.vscode-pylance.vsix,Python completion and analysis
VSIX,Python Debugger,Latest,x64,https://marketplace.visualstudio.com/items?itemName=ms-python.debugpy,offline-bundle/vsix/ms-python.debugpy.vsix,Python debugging
VSIX,Python Environments,Latest,x64,https://marketplace.visualstudio.com/items?itemName=ms-python.vscode-python-envs,offline-bundle/vsix/ms-python.vscode-python-envs.vsix,Python environment selection
Commercial,Microsoft Office,2021,x64,https://account.microsoft.com/services,manual,Requires a valid license
Commercial,MATLAB,R2022b,x64,https://www.mathworks.com/downloads/,manual,Requires MathWorks account and license
Commercial,Adobe Acrobat Reader or Pro,Current DC,x64,https://get.adobe.com/reader/enterprise/,manual,Reader is free; Pro requires a license
